,Store Code,Site Name,Store Type,TNS Link ID,TNS Name Portal,Region,Installed,Closure Date,Router Serial No,Primary,Owner,Speed,Service ID / Serial No,Service No / MAC,Account ,Secondary,Owner,Service ID / Serial No,Service No / MAC,Account,Router IP Address ,LAN Core IP ,Switch Model,Switch Serial No,Phone 1,Phone 2,Phone 3,Phone 4,Phone 5,Phone 6,Service Address
11,34,ABG Kluang,Aeon BIG,vxmb00023v,ABG_Kluang,Johor,18-Oct-16,,FGL204023H9,TM - Unifi,Vinx,30mbps,abg_kluang@unifibiz,07-7785704,1044890299,4G - YES LTE ,N'osairis,YESLB0122768,8.96015E+18,01117192326@YES.MY,10.28.5.1,10.168.188.254,,,,,,,,,"Lot 1284 Mukim Kluang, Daerah Kluang, 86000 Johor Darul Takzim"
12,24,ABG Kuantan,Aeon BIG,vxmb00025v,ABG_Kuantam,Pahang,20-Oct-16,,FGL204023L6,TM - Unifi,Vinx,10mbps,aeonecm01@unifibiz,09-5132286,1044925103,4G - YES LTE ,N'osairis,YESLB0122833,8.96015E+18,01117112381@YES.MY,10.13.5.1,10.150.247.254,,,,,,,,,"Level 1 & 2 East Coast Mall Jalan Putra Square 6, Putra Square 25200 Kuantan, Pahang Darul Makmur"
13,16,ABG Midvalley,Aeon BIG,vxma00018v,ABG_Midvalley,Kuala Lumpur,26-Oct-16,,FGL204023HW,TM - Unifi,Vinx,20mbps,abg_midvalley@unifbiz,03-22014524,1031663238,Macrolynx Fibre (15mbps),N'osairis,,,C210174 MLX,10.6.5.1,10.150.87.254,,,,,,,,,"AT1 Mid Valley Megamall, Mid Valley City, 58000 Kuala Lumpur."
14,32,ABG Puchong,Aeon BIG,vxma00023v,ABG_Puchong,Selangor,11-Oct-16,,FGL204023JK,TM - Unifi,Vinx,30mbps,abg_puchong@unifibiz,380663646,1044886982,4G - YES LTE ,N'osairis,YESLB0122844,8.96015E+18,01117192287@YES.MY,10.25.5.1,10.168.215.254,,,,,,,,,"AEON BiG Shopping Centre Puchong Utama, Lot 4029, Persiaran Puchong Utama, 47100 Puchong, Selangor Darul Ehsan."
15,18,ABG Putrajaya,Aeon BIG,vxmb00021v,ABG_Putrajaya,Selangor,27-Oct-16,,FGL204023HP,TM - Unifi,Vinx,30mbps,aeonputrajaya@unifibiz,03-88613502,1044925251,4G - YES LTE ,N'osairis,YESLB0123034,8.96015E+18,01117192316@YES.MY,10.8.5.1,10.150.135.254,,,,,,,,,"Lower Ground Floor & Ground Floor , Alamanda Putrajaya Shopping Centre, Jalan Alamanda, Precint 1, 62000 Putrajaya"
16,15,ABG Seberang Jaya,Aeon BIG,vxmb00028v,ABG_Seberangjaya,Penang,25-Oct-16,,FGL204023KR,TM - Unifi,Vinx,30mbps,abg_sperai@unifibiz,04-3830061,,4G - YES LTE ,N'osairis,YESLB0122848,8.96015E+18,01117193975@YES.MY,10.5.5.1,10.150.7.254,,,,,,,,,"2929 Jalan Kelisa Emas 1, Seberang Jaya, 13700 Perai, Penang"
17,31,ABG Shah Alam,Aeon BIG,vxmb00018v,ABG_Shahalam,Selangor,10-Oct-16,,FGL204023HM,TM - Unifi,Vinx,30mbps,abgshahalam@unifibiz,03-55452634,1040614784,4G - YES LTE ,N'osairis,YESLB0122767,8.96015E+18,01117186008@YES.MY,10.24.5.1,10.168.199.254,,,,,,,,,"AEON BiG Shopping Centre Section 23, Shah Alam, Lot No. 10, Jalan Dividen 23/6, Seksyen 23, 40460 Shah Alam, Selangor Darul Ehsan."
18,14,ABG Sri Petaling,Aeon BIG,vxma00024v,ABG_Sripetaling,Kuala Lumpur,12-Oct-16,,FGL204023JE,TM - Unifi,Vinx,10mbps,epoffice01@unifibiz,03-90542589,1044925491,4G - YES LTE ,N'osairis,YESLB0122766,8.96015E+18,01117186012@YES.MY,10.4.5.1,10.150.39.254,,,,,,,,,"Endah Parade Shopping Mall(LG & GF), No 1 Jalan 1/149E, Taman Sri Endah, Bandar Baru Sri Petaling, 57000 Kuala Lumpur."
19,25,ABG Sutera Mall,Aeon BIG,vxmb00024v,ABG_Suteramall,Johor,19-Oct-16,,FGL204023H7,TM - Unifi,Vinx,20mbps,abg_suteramall@unifibiz,07-5596817,1031610676,4G - YES LTE ,N'osairis,YESLB0122756,8.96015E+18,01117192325@YES.MY,10.15.5.1,10.168.55.254,,,,,,,,,"L 2-033, Jalan Sutera Tanjung 8/4, Taman Sutera Utama, 81300 Johor Bahru,Johor"
20,26,ABG Tropicana City Mall,Aeon BIG,vxma00022v,ABG_TropicanaCityMall,Selangor,7-Oct-16,,FGL204023HU,TM - Unifi,Vinx,20mbps,abg_tropicana@unifibiz,03-77312241,1031274127,4G - YES LTE ,N'osairis,YESLB0123039,8.96015E+18,01117185994@YES.MY,,,,,,,,,,,"Lot LG 17 Lower Ground Floor Tropicana City Mall No. 3, Jalan SS20/27 47400 Petaling Jaya"
21,27,ABG Tun Hussein Onn,Aeon BIG,vxma00025v,ABG_Tunhusseinonn,Selangor,13-Oct-16,,FGL204023HZ,TM - Unifi,Vinx,300mbps,abg_tho@unifibiz,03-90818354,1040515981,4G - YES LTE ,N'osairis,YESLB0123050,8.96015E+18,01117193987@YES.MY,10.1.5.1,10.168.103.254,,,,,,,,,"Bandar Tun Hussien Onn, Jln Suarasa 2, 43200 Kajang Selangor"
22,13,ABG Wangsa Maju,Aeon BIG,vxma00028v,ABG_WangsaMaju,Kuala Lumpur,14-Oct-16,,FGL204023J8,TM - Unifi,Vinx,10mbps,aeonwangsamaju2@unifibiz ,03-41314494,1044925699,4G - YES LTE ,N'osairis,YESLB0122838,8.96015E+18,01117192296@YES.MY,10.3.5.1,10.150.71.254,,,,,,,,,"6 Jalan 8/27A, Section 5, Wangsa Maju, 53300 Kuala Lumpur."
23,11,ABG Subang,HQ,,NA,Selangor,,,FGT5HD3916800749,TM - Unifi,Vinx,30mbps,abg_subang@unifibiz,03-56111379,1031730342,TIME ,N'osairis,2.40E+11,TBBN073474G,,10.1.5.1,10.150.163.254,,,,,,,,,"3 Jalan SS16/1, 47500 Subang Jaya, Selangor Darul Ehsan."
24,5701,Aeon Rockey AMY Shah Alam,Aeon Rockey,vxmb00061v,Arocky_ShahAlam,Selangor,3-Sep-17,,FGL204023KD,TM - Unifi,Vinx,50mbps,aeonrockysa5@unifibiz,"03-55242502 
03-55241020",1044925889,3G - Maxis,TNS,8.96001E+18,,,,,,,,,,,,,"AEON Mall Shah Alam, Lot T05, Level 3, 1, Jalan Akuatik 13/64, Seksyen 13, Shah Alam, 40100 Selangor, Malaysia"
25,5702,Aeon Rockey Tebrau City,Aeon Rockey,vxmb00068v,ARockey_Tebraucity,Johor,29-Sep-17,,FGL210421ZN,TM - Unifi,Vinx,10mbps,"aeontc66@unifibiz
aeontc01@unifibiz (Guest Wifi)",6073649021,1044910741,3G - Digi ,TNS,8.96016E+19,,,192.170.12.1,8 PORT SWITCH,,,"6073649022
6073649021",6073649023,6073649026,6073649025,6073649028,,"F102A & F102B, Level 1, No.1, Jalan Desa Tebrau, Taman Desa Tebrau, 81100 Johor Bahru, Johor Darul Takzim."
26,1020,AMY Ampang Utara (AU2),AMY,vxma00001v,AMY_Ampangutara,Kuala Lumpur,9-Aug-16,,FGL204023H6,TM - Unifi,Vinx,20mbps,amy_ampang_utara@unifibiz,03-42664930,1031048299,4G - YES LTE ,N'osairis,YESLB0123036,8.96015E+18,01117192318@YES.MY,172.37.0.1,172.37.0.2,,,,,,,,,"Setiawangsa,Lower Ground Floor, No.6 Jalan Taman Setiawangsa (Jalan 37/56), AU2, Taman Keramat, 54200 Kuala Lumpur"
27,1008,AMY Bandar Puchong,AMY,vxma00002v,AMY_Bandarpuchong,Selangor,29-Aug-16,,FGL231710C9,TM - Unifi,Vinx,30mbps,amy_bandarpuchong@unifibiz,03-80710829,1035677580,4G - YES LTE ,N'osairis,YESLB0123038,8.96015E+18,01117101688@YES.MY,172.14.0.1,172.14.0.2,,,,,,,,,"Lot G40, IOI Mall Batu 9, Jln Puchong Bandar Puchong Jaya 47100 Puchong Selangor Darul Ehsan"
28,1017,AMY Bandar Sunway,AMY,vxma00003v,AMY_Bandarsunway,Selangor,12-Aug-16,,FGL204023HR,TM - Unifi,Vinx,20mbps,amy_bandar_sunway@unifibiz,03-56125296,1031072935,4G - Unifi AIR,Nosairis,800084501,,Pin: 197777,172.32.0.1,172.32.0.2,,,,,,,,,"1st Floor, Management Office F2.80, Sunway Pyramid No. 3, Jalan PJS 11/15 Bandar Sunway 46150 Petaling Jaya Selangor Darul Ehsan"
29,1004,AMY Bandar Utama,AMY,vxma00004v,AMY_Bandarutama,Selangor,14-Aug-16,,FGL204023H5,TM - Unifi,Vinx,20mbps,amy_bandarutama@unifibiz,03-77317594,1031133612,4G - YES LTE ,Nosairis,YESLB0122759,8.96015E+18,01117192216@YES.MY,172.7.0.1,172.7.0.2,,,,,,,,,"No. 1, Lebuh Bandar Utama Bandar Utama Damansara 47800 Petaling Jaya, Selangor"
30,1022,AMY Bandaraya Melaka,AMY,vxmb00001v,AMY_Bandarayamelaka,Melaka,24-Aug-16,,FGL204023KB,TM - Unifi,Vinx,300mbps,amy_bandarayamelaka@unifibiz,6062644473,,3G - Celcom,TNS,8.96019E+18,,,172.44.0.1,,,,,,,,,,"No.2 Jalan Legenda, Taman 1 - Legenda, 75400 Melaka"
31,1021,AMY Bukit Indah,AMY,vxmb00002v,AMY_Bukitindah,Johor,26-Aug-16,,FGL204023JJ,TM - Unifi,Vinx,30mbps,amy_bindah@unifibiz,07-2309380,,4G - YES LTE ,Nosairis,YESLB0122835,8.96015E+18,01117192330@YES.MY,172.39.0.1,172.39.0.2,,,,,,,,,"Grand Mezzanine, No. 8, Jalan Indah 15/2, Bukit Indah, 81200 Johor Bahru, Johor Darul Takzim."
32,1030,AMY Bukit Mertajam,AMY,vxmb00003v,AMY_Bukitmertajam,Penang,19-Aug-16,,FGL204023KV,TM - Unifi,Vinx,20mbps,amy_bukitmertajam@unifibiz,04-5400624,1031176660,4G - YES LTE ,Nosairis,YESLB0122764,8.96015E+18,01117192335@YES.MY,172.51.0.1,172.51.0.2,,,,,,,,,"Management Office, Lot No. 30908, Jalan Rozhan Alma, Seberang Perai Tengah, 14000 Bukit Mertajam, Pulau Pinang."
33,1005,AMY Bukit Raja (Bandar Baru Klang),AMY,vxma00005v,AMY_Bukitraja,Selangor,13-Aug-16,,FGL204023KG,TM - Unifi,Vinx,20mbps,amy_bukitraja@unifibiz,03-33623546,1031070228,4G - YES LTE ,Nosairis,YESLB0122758,8.96015E+18,01117186009@YES.MY,172.9.0.1,172.9.0.2,,,,,,,,,"Persiaran Bukit Raja 2 Bandar Baru Klang 41150 Klang, Selangor"
34,1018,AMY Bukit Tinggi,AMY,vxma00006v,AMY_Bukittinggi,Selangor,10-Aug-16,,FGL204023KA,TM - Unifi,Vinx,20mbps,amy_bukittinggi@unifibiz,60333180867,1031072505,3G - Celcom,Nosairis,8.96019E+17,,,172.33.0.1,172.33.0.2,,,,,,,,,"No 1, Persiaran Batu Nilam 1/KS 6, Bandar Bukit Tinggi 2, 41200 Klang, Selangor Darul Ehsan."
35,1014,AMY Cheras Selatan,AMY,vxma00007v,AMY_Cherasselatan,Selangor,12-Aug-16,,FGL204023H1,TM - Unifi,Vinx,20mbps,amy_cheras.selatan@unifibiz,60390815914,1031134933,3G - Celcom,N'osairis,8.96019E+17,,,172.28.0.1,172.28.0.2,,,,,,,,,"Aras Satu, Lebuh Tun Hussien Onn 43200 Balakong Selangor Darul Ehsan"
36,1015,AMY Equine Park,AMY,vxma00008v,AMY_Equinepark,Selangor,12-Aug-16,,FGL204023KJ,TM - Unifi,Vinx,20mbps,amu_equineselatan@unifibiz,03-89538703,1031134891,4G - YES LTE ,N'osairis,YESLB0122765,8.96015E+18,01117192281@YES.MY,172.29.0.1,172.29.0.2,,,,,,,,,"No. 2, Jalan Equine Taman Equine, Bandar Putra Permai 43300 Seri Kembangan Selangor Darul Ehsan"
37,1037,AMY Falim,AMY,vxmb00004v,AMY_Falim,Perak,5-Aug-16,,FGL204023J7,TM - Unifi,Vinx,300mbps,amy_falim@unifibiz,05-2850347,1038629539,4G - YES LTE ,N'osairis,YESLB0123042,8.96015E+18,01117185996@YES.MY,172.67.0.1,172.67.0.2,,,,,,,,,"No.1, Hala Falim 1, Taman Mas Jaya, Falim, 30200 Ipoh, Perak"
38,1006,AMY Ipoh Kinta City,AMY,vxmb00005v,AMY_Ipohkintacity,Perak,18-Aug-16,,FGL204023JA,TM - Unifi,Vinx,300mbps,amy_kintacity@unifibiz,05-5412547,1038542484,4G - YES LTE ,N'osairis,YESLB0123043,8.96015E+18,01117192304@YES.MY,172.41.0.1,172.11.0.2,,,,,,,,,"No 2, Jalan Teh Lean Swee, Off Jalan Sultan Azlan Shah Utara, 31400 Ipoh, Perak"
39,1026,AMY Ipoh Station 18,AMY,vxmb00006v,AMY_Ipohstation18,Perak,18-Aug-16,,FGL204023JY,TM - Unifi,Vinx,300mbps,amy_ipohstation18@unifibiz,05-3210483,,3G - Celcom,TNS,8.96019E+17,,,172.42.0.1,172.41.0.2,,,,,,,,,"No.2, Susuran Stesen 18, Station 18, 31650, Ipoh, Perak."
40,1038,AMY Kempas (AMY BANDAR DATO’ ONN),AMY,vxmb00064v,AMY_BdrDato'Onn,Johor,19-Jul-17,,FGL210421ZW,TM - Unifi,Vinx,20mbps,amy_storekempas@unifibiz,6073617214,1034309201,4G - YES LTE ,N'osairis,YESLB0122770,8.96015E+18,01117192320@YES.MY,172.69.0.1,172.69.0.2,,,,,,,,,"No.3, Jalan Dato' Onn 3,Bandar Dato' Onn, 81100, Johor Bharu."
41,1033,AMY Klebang,AMY,vxmb00007v,AMY_Klebang,Perak,18-Aug-16,,FGL204023KE,TM - Unifi,Vinx,300mbps,amy_klebang@unifibiz,05-2926416,1038565063,3G - Celcom,N'osairis ,8.96019E+18,,,172.64.0.1,172.64.0.2,,,,,,,,,"AEON Mall Ipoh Klebang, Lot 12080, Klebang Perdana, 31200 Chemor, Perak."
42,1035,AMY Kota Bharu,AMY,vxmb00008v,AMY_Kotabharu,Kelantan,4-Jan-16,,FGL204023KK,TM - Unifi,Vinx,30mbps,aeonmanagementkb2@unifibiz,09-7405109,1044910188,4G - Yes LTE,N'osairis ,YESLB0122762,8.96015E+18,01117192264@YES.MY,172.66.0.1,172.66.0.2,,,,,,,,,"Pusat Beli-Belah Kota Bharu, Lembah Sireh, 15050, Kota Bharu, Kelantan."
43,1039,AMY Kuching,AMY,vxmb00073v,AMY_Kuching,Sarawak,22-Feb-18,,FGL204023J5,TM - Unifi,Vinx,300mbps,amy_kuching@unifibiz,08-2549407,1037483060,3G - Celcom,TNS,8.96019E+17,,,172.72.0.1,172.72.0.1,,,,,,,,,"Lot G52, F43 & S39, AEON Mall Kuching Central, No. 88, Jalan Datuk Patinggi Haji Ahmad Zaidi Adruce, 93200 Kuching, Sarawak, Malaysia"
44,1028,AMY Kulai Jaya,AMY,vxmb00009v,AMY_Kulaijaya,Johor,24-Aug-16,,FGL204023K4,TM - Unifi,Vinx,20mbps,vinxkul01@unifibiz,6076600868,1031197989,3G - Maxis,TNS,8.96001E+18,,,172.50.0.1,172.50.0.2,,,,,,,,,"PTD 106273, Persiaran Indahpura Utama, Bandar Indahpura, 81000 Kulaijaya, Johor"
45,1001,AMY Maluri Store,AMY,vxma00010v,AMY_Maluristore,Kuala Lumpur,29-Aug-16,,FGL204023KX,TM - Unifi,Vinx,20mbps,amy_maluristores@unifibiz,03-92020695,1031230897,4G - Yes LTE,N'osairis ,YESLB0122846,8.96015E+18,01117185982@YES.MY,172.3.0.1,172.3.0.2,,,,,,,,,"Jalan Jejaka, Taman Maluri Cheras 55100, Kuala Lumpur"
46,1002,AMY Melaka Store,AMY,vxmb00010v,AMY_Melakastore,Melaka,24-Aug-16,,FGL204023JQ,TM - Unifi,Vinx,300mbps,amy_ayerk@unifibiz,06-3182513,,3G - Celcom,TNS,8.96019E+18,1592449554,,172.4.0.1,172.4.0.2,,,,,,,,,"Leboh Ayer Keroh, 75450 Melaka"
47,1011,AMY Metro Prima,AMY,vxma00011v,AMY_Metroprima,Kuala Lumpur,13-Aug-16,,FGL204023LG,TM - Unifi,Vinx,20mbps,amy_metroprima@unifibiz,03-61794671,1031134602,4G - Yes LTE,N'osairis ,YESLB0123049,8.96015E+18,01117192310@YES.MY,172.21.0.1,172.21.0.2,,,,,,,,,"No 1, Jalan Metro Prima Kepong 52100, Kuala Lumpur"
48,1007,AMY Midvalley,AMY,vxma00012v,AMY__Midvalley,Kuala Lumpur,12-Aug-16,,FGL204023KW,TM - Unifi,Vinx,20mbps,amy_midvalley@unifbiz,03-22010521,1031045675,4G - Yes LTE,N'osairis ,YESLB0122831,8.96015E+18,01117193983@YES.MY,172.13.0.1,172.13.0.2,,,,,,,,,"ÆON Co. (M) Bhd. ÆON Mid Valley Store, AT3 Mid Valley Megamall, Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur."
49,1040,AMY NILAI,AMY,vxmb00083v,AMY_Nilai,N9,4-Dec-18,,FGL223393S4,TM - Unifi,Vinx,30Mbps,amy_nilai@unifibiz,6067907030,1041224864,3G - Digi,TNS ,8.96016E+19,3 GB,,172.74.0.1 ,,,,,,,,,,"AEON Nilai , Store Management Office, 1st Floor, AEON Nilai Mall, No.2, Persiaran Pusat Bandar Putra Point, Putra Nilai, 71800, Nilai, Negeri Sembilan"
50,1010,AMY Permas Jaya,AMY,vxmb00011v,AMY_Permasjaya,Johor,25-Aug-16,,FGL204023HH,TM - Unifi ,Vinx,300mbps,amy_permasjaya@unifibi,07-3862581,1040320879,4G - Yes LTE,N'osairis,YESLB0122787,1130000466,01130000466@YES.MY,172.19.0.1,172.19.0.2,,,,,,,,,"No 1, Jalan Permas Jaya Utara Bandar Baru Permas Jaya 81750 Johor Bahru Johor"
51,1016,AMY Queensbay Mall,AMY,vxmb00012v,AMY_Queensbay_Mall,Penang,19-Aug-16,,FGL204023K8,TM - Unifi,Vinx,20mbps,amy_queensbaymall@unifibiz,6046115174,1031176447,3G - Celcom,TNS ,8.96019E+16,,,172.31.0.1,172.31.0.2,,,,,,,,,1F-61 Queensbay Mall 100 Persiaran Bayan Indah 11900 Bayan Lepas Penang
52,1025,AMY Rawang,AMY,vxma00014v,AMY_Rawang,Selangor,16-Aug-16,,FGL204023JD,TM - Unifi,Vinx,20mbps,amy_rawang@unifibiz,03-60900419,1031143124,4G - Yes LTE,N'osairis,YESLB0123033,8.96015E+18,01117192289@YES.MY,172.40.0.1,172.40.0.2,,,,,,,,,"No. 1, Kompleks Beli-belah AEON Rawang Anggun, Persiaran Anggun, Taman Anggun 48000 Rawang , Selangor Darul Ehsan."
53,1012,AMY Seremban 2,AMY,vxmb00013v,AMY_Seremban2,N9,24-Aug-16,,FGL204023H8,TM - Streamyx,Vinx,4mbps,vinxsn@streamyx,06-6012205,U600298037608,4G - Yes LTE,N'osairis,YESLB0123035,8.96015E+18,01117192319@YES.MY,172.23.0.1,172.23.0.2,,,,,,,,,"112 Persiaran S2 B1, Seremban 2, 70300 Seremban, Negeri Sembilan Darul Khusus"
54,1032,AMY Shah Alam,AMY,vxma00015v,AMY_Shahalam,Selangor,10-Mar-16,,FGL204023KF,TM - Unifi,Vinx,50mbps,aeonmanagementsa@unifibiz,355244798,1044912226,4G - Yes LTE,N'osairis,YESLB0122757,8.96015E+18,01117192301@YES.MY,172.65.0.2,172.65.0.2,,,,,,,,,"AEON Mall Shah Alam, No.1, Jalan Akuatik 13/64, Seksyen 13, 40100, Shah Alam, Selangor."
55,1027,AMY Sri Manjung,AMY,vxmb00014v,AMY_Srimanjung,Perak,18-Aug-16,,FGL204023K0,TM - Unifi,Vinx,300mbps,amy_srimanjung@unifibiz,56884018,1038621551,4G - Yes LTE,N'osairis,YESLB0122845,8.96015E+18,01117184703@YES.MY,172.42.0.2,172.42.0.2,,,,,,,,,"Pusat Perniagaan Manjung Point 3, 32040 Seri Manjung, Perak."
56,1029,AMY Taiping,AMY,vxmb00015v,AMY_Taiping,Perak,19-Aug-16,,FGL204023LD,TM - Unifi,Vinx,300mbps,amy_taiping@unifibiz,"
05-8293784 ",1039320096,3G - Maxis,TNS,8.96001E+18,,,172.52.0.1,172.52.0.2,,,,,,,,,"Pusat Beli-belah AEON,Lot 8576 & 8577, Jalan Kamunting, 34000 Taiping, Perak."
57,1009,AMY Taman Universiti,AMY,vxmb00016v,AMY_Tamanuniversity,Johor,26-Aug-16,,FGL204023JX,TM - Unifi,Vinx,300mbps,amy_tmnuniversiti@unifibiz,,,3G - Maxis,TNS,8.96001E+18,,,172.17.0.1,172.17.0.2,,,,,,,,,"No 4, Jalan Pendidikan Taman Universiti 81300 Skudai, Johor"
58,1013,AMY Tebrau City,AMY,vxmb00017v,AMY_Tebraucity,Johor,27-Aug-16,,FGL204023K7,TM - Unifi,Vinx,300mbps,amy_tebraucity@unifibiz,73504729,1038856223,3G - Celcom,TNS,8.96019E+18,,,172.25.0.1,172.25.0.2,,,,,,,,,"No 1, Jalan Desa Tebrau Taman Desa Tebrau 81100 Johor Bahru Johor"
59,1003,AMY Wangsa Maju,AMY,vxma00016v,AMY_Wangsamaju,Kuala Lumpur,8-Oct-16,,FGL204023LA,TM - Unifi,Vinx,20mbps,amy_wangsamaju@unifbiz,03-41314612,1031072968,4G - Yes LTE,N'osairis,YESLB0122836,8.96015E+18,01117192331@YES.MY,172.5.0.1,172.5.0.2,,,,,,,,,"Jln R1, Seksyen 1 Bandar Baru Wangsa Maju 53300 Kuala Lumpur"
60,9000,AMY Maluri,HQ,,NA,Kuala Lumpur,30-Sep-15,,FGT5HD3916802229,TM - Unifi,Vinx,20mbps,amy_maluristore@unifibiz,03-92016041,1031133091,TM - Unifi (100mbps),Vinx,aeonco_hq@unifibiz,1044610713,,172.1.1.6,172.1.1.1,,,,,,,,,
61,5124,Daiso Aman Sentral,Daiso,vxmb00038v,VAD_Amansentral,Kedah,30-Sep-19,,FGL204023HL,TM - Streamyx,Aeon,1mbps,daisaman@streamyx,6047313552,A600259230106,3G - Maxis,TNS,8.96001E+18,,,192.169.5.1,8 PORT SWITCH,,,,,,,,,"Daiso @ Aman Sentral, Lot 3-26, 3rd Floor, Aman Central Mall, Lebuhraya Darul Aman, 05100 Alor Setar, Kedah. / VINX- to request for an upgrade upon contract sign off"
62,5121,Daiso AMY Bukit Mertajam,Daiso,vxmb00030v,VAD_Bukitmertajam,Penang,19-Aug-16,,FGL204023HT,TM - Unifi,Aeon,100mbps,daisobm1@unifibiz,6045485817,1019976768,3G - Celcom,TNS,8.96019E+17,,,192.169.12.1,8 PORT SWITCH,,,,,,,,,"Lot S42, 2nd Floor, AEON Mall Bukit Mertajam, Seberang Perai Tengah, 14000 Bukit Mertajam, Pulau Pinang. "
